City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Country,Date,Wind Speed
429,Donskoye,45.4552,41.9741,23.13,92,100,RU,1675723717,14.99
430,Letnyaya Stavka,45.4306,43.4472,23.81,94,100,RU,1675723718,14.34
431,Amahai,-3.3333,128.9167,78.98,81,100,ID,1675723718,3.67
432,Syedove,47.0768,38.156,24.51,75,100,UA,1675723719,21.09
433,Nanortalik,60.1432,-45.2371,5.65,84,76,GL,1675723719,11.07
434,Hamilton,39.1834,-84.5333,47.64,55,0,US,1675723670,8.05
435,Port-Gentil,-0.7193,8.7815,80.56,89,40,GA,1675723665,4.61
436,Erzin,36.9559,36.2,43.43,92,100,TR,1675723720,1.5
437,Rio Grande,-32.035,-52.0986,82.51,73,1,BR,1675723668,10.6
438,Aswān,24.0934,32.907,56.5,44,0,EG,1675723720,4.61
439,Tres Arroyos,-38.3739,-60.2798,70.09,46,30,AR,1675723721,19.42
440,Aracati,-4.5617,-37.7697,79.54,79,29,BR,1675723721,10.16
441,Winfield,37.2398,-96.9956,65.5,45,97,US,1675723722,4.0
442,Inzer,54.2167,57.5556,8.42,98,100,RU,1675723722,0.74
443,Colares,38.7992,-9.4469,53.89,67,31,PT,1675723723,14.0
444,Hobyo,5.3505,48.5268,76.23,79,60,SO,1675723723,17.0
445,Yulara,-25.2406,130.9889,81.18,19,0,AU,1675723724,9.31
446,Najrān,17.4924,44.1277,65.05,63,72,SA,1675723724,6.13
447,Berlevåg,70.8578,29.0864,40.95,70,0,NO,1675723706,29.93
448,Roebourne,-20.7833,117.1333,85.78,64,2,AU,1675723724,1.77
449,Coahuayana Viejo,18.7333,-103.6833,83.66,57,0,MX,1675723725,5.88
450,Daytona Beach,29.2108,-81.0228,67.06,68,0,US,1675723725,14.97
451,Darnah,32.767,22.6367,50.07,73,95,LY,1675723726,14.74
452,Montepuez,-13.1256,38.9997,68.79,97,100,MZ,1675723726,7.23
453,Inhambane,-23.865,35.3833,76.5,87,100,MZ,1675723726,10.45
454,São João da Barra,-21.6403,-41.0511,80.69,91,97,BR,1675723727,4.12
455,Hofn,64.2539,-15.2082,35.53,57,54,IS,1675723727,21.23
456,Puerto Escondido,15.85,-97.0667,83.23,61,40,MX,1675723728,6.91
457,Øksfjord,70.2396,22.3479,46.58,98,100,NO,1675723728,12.62
458,Townsville,-19.25,146.8,85.08,74,20,AU,1675723728,9.22
459,Yantongshan,43.2919,126.0094,-1.21,94,23,CN,1675723729,5.17
460,Khuzhir,53.1939,107.3397,7.63,89,76,RU,1675723729,8.25
461,Manapparai,10.6,78.4167,68.86,88,36,IN,1675723730,1.45
462,Sakaiminato,35.55,133.2333,42.78,75,75,JP,1675723730,3.44
463,Luorong,24.4058,109.6086,55.94,93,100,CN,1675723730,3.49
464,Nome,64.5011,-165.4064,6.87,72,0,US,1675723484,8.05
465,Cairns,-16.9167,145.7667,84.15,79,73,AU,1675723731,5.75
466,Bordighera,43.7806,7.6645,49.95,55,86,IT,1675723731,15.01
467,Brufut,13.3814,-16.7518,69.89,60,34,GM,1675723732,8.05
468,Auki,-8.7676,160.7034,82.58,72,98,SB,1675723695,5.86
469,Margate,51.3813,1.3862,42.91,84,3,GB,1675723732,1.99
470,Chapais,49.7834,-74.8492,4.78,96,28,CA,1675723661,3.89
471,Pochutla,15.7432,-96.4661,81.99,55,9,MX,1675723725,6.85
472,Kiunga,-6.1219,141.2906,76.05,94,99,PG,1675723733,2.93
473,Jizan,17.3333,42.6667,76.14,70,74,SA,1675723733,6.33
474,Atar,20.5169,-13.0499,63.05,26,0,MR,1675723734,8.93
475,Salinópolis,-0.6136,-47.3561,77.41,90,98,BR,1675723734,10.22
476,Maryville,35.7565,-83.9705,61.0,38,20,US,1675723494,0.0
477,Skjervøy,70.0311,20.9714,50.0,88,100,NO,1675723735,18.32
478,Tual,-5.6667,132.75,80.87,79,99,ID,1675723558,14.58
479,Tawao,4.2498,117.8871,73.53,89,98,MY,1675723735,4.56
480,Pathein,16.7833,94.7333,68.34,64,35,MM,1675723736,5.46
481,Les Cayes,18.2,-73.75,75.94,80,18,HT,1675723736,7.05
482,Skellefteå,64.7507,20.9528,42.01,95,100,SE,1675723736,17.27
483,Santa Leopoldina,-20.1006,-40.5297,78.42,92,90,BR,1675723737,1.07
484,Hamakita,34.8,137.7833,47.64,57,100,JP,1675723737,2.39
485,Porto Walter,-8.2686,-72.7439,72.18,98,100,BR,1675723738,0.94
486,Şofronea,46.2667,21.3,24.98,80,0,RO,1675723738,7.0
487,Kita,13.0349,-9.4895,83.41,15,100,ML,1675723738,5.32
488,Alta Floresta,-9.8756,-56.0861,72.95,95,92,BR,1675723739,0.72
489,Port Hedland,-20.3167,118.5667,82.45,89,28,AU,1675723739,3.44
490,Tynda,55.1667,124.7167,-43.6,99,40,RU,1675723740,2.64
491,Bonthe,7.5264,-12.505,76.48,78,100,SL,1675723740,6.91
492,Sorong,-0.8833,131.25,78.55,83,100,ID,1675723740,3.29
493,Farnes,61.3167,7.8,27.1,96,100,NO,1675723741,2.26
494,Zehdenick,52.9785,13.3317,28.0,78,6,DE,1675723741,3.53
495,Téra,14.0078,0.7531,82.6,14,98,NE,1675723742,6.85
496,Rio Verde de Mato Grosso,-18.9181,-54.8442,74.41,90,79,BR,1675723743,2.73
497,Yerbogachën,61.2767,108.0108,-21.06,100,94,RU,1675723744,2.55
498,Richards Bay,-28.783,32.0377,72.09,94,0,ZA,1675723745,4.25
499,Brae,60.3964,-1.353,47.01,81,98,GB,1675723746,24.4
500,Glendive,47.1053,-104.7125,38.82,65,0,US,1675723746,19.57
501,Jiangyou,31.7667,104.7167,52.92,60,99,CN,1675723747,2.89
502,Pangai,-19.8,-174.35,77.11,78,75,TO,1675723747,9.22
503,Belmonte,-15.8631,-38.8828,78.84,83,0,BR,1675723748,9.66
504,Tsimmerbude,54.675,20.1347,35.65,89,64,RU,1675723748,7.61
505,Mezhdurechensk,53.6942,88.0603,17.78,96,100,RU,1675723749,2.98
506,Mackay,-21.15,149.2,84.69,81,41,AU,1675723750,17.34
507,Sioux Lookout,50.1001,-91.917,33.87,69,100,CA,1675723750,13.8
508,Merauke,-8.4667,140.3333,78.78,88,100,ID,1675723751,12.73
509,Niquero,20.0431,-77.5828,78.03,72,4,CU,1675723751,5.44
510,Mabai,23.0128,104.4508,54.52,91,99,CN,1675723752,3.96
511,Minot,48.2325,-101.2963,34.02,80,75,US,1675723560,25.32
512,Araouane,18.9048,-3.5265,71.49,13,100,ML,1675723752,9.28
513,Ramnagar,29.4,79.1167,55.89,49,1,IN,1675723753,5.19
514,Victoria Point,-27.5833,153.3,82.9,67,95,AU,1675723754,5.99
515,Leshukonskoye,64.8989,45.7622,-1.16,99,87,RU,1675723754,4.85
516,Kachug,53.9606,105.8817,-9.92,100,84,RU,1675723755,3.11
517,Buala,-8.145,159.5921,82.26,77,90,SB,1675723755,9.17
518,Kudus,-6.8048,110.8405,74.71,95,100,ID,1675723756,2.59
519,Moyale,3.5167,39.0584,70.45,33,11,KE,1675723756,9.78
520,Ayan,56.45,138.1667,-18.27,80,30,RU,1675723757,8.97
521,Puerto Triunfo,5.8726,-74.6403,82.58,67,72,CO,1675723758,2.77
522,Pervomayskoye,43.919,46.7102,32.25,96,100,RU,1675723759,10.13
523,Muscat,23.6139,58.5922,68.02,58,61,OM,1675723759,3.04
524,São João do Piauí,-8.3581,-42.2467,80.11,59,99,BR,1675723760,2.55
525,Dondo,-19.6094,34.7431,76.51,89,23,MZ,1675723760,3.67
526,Mandera,3.9366,41.867,79.84,32,5,KE,1675723761,8.77
527,Verkhnyaya Toyma,62.2349,44.9985,-6.5,100,100,RU,1675723761,2.75
528,Sabha,27.0377,14.4283,51.62,51,99,LY,1675723762,9.78
529,Omsukchan,62.5333,155.8,-35.86,99,94,RU,1675723762,4.27
